iid,name,county.x,street_str_addr1,street_city,street_state,street_zip,street_zip4,attending_district_institutional_id,district,school,x2017_18_total_enrollment,x2018_19_total_enrollment,x2018_19_american_indian_alaska_native,x2018_19_percent_american_indian_alaska_native,x2018_19_asian,x2018_19_percent_asian,x2018_19_native_hawaiian_pacific_islander,x2018_19_percent_native_hawaiian_pacific_islander,x2018_19_black_african_american,x2018_19_percent_black_african_american,x2018_19_hispanic_latino,x2018_19_percent_hispanic_latino,x2018_19_white,x2018_19_percent_white,x2018_19_multiracial,x2018_19_percent_multiracial,address,lon,lat,county.y,district_id,district_name,institution_name,institution_type,student_group_type,student_group,approaches_to_learning_self_regulation_score,approaches_to_learning_interpersonal_skills_score,approaches_to_learning_total_score_score,approaches_to_learning_n,math_avg_number_correct_score,math_n,literacy_uppercase_letter_names_number_correct_score,literacy_uppercase_letter_names_number_correct_n,literacy_lowercase_letter_names_number_correct_score,literacy_lowercase_letter_names_number_correct_n,literacy_letter_sounds_number_correct_score,literacy_letter_sounds_number_correct_n
21,Philomath Middle School,Benton,2021 Chapel Dr,Philomath,OR,97370,9559,1900,Philomath SD 17J,Philomath Middle School,352,362,3,0.00829,5,0.01381,,0,,0,29,0.08011,300,0.82873,25,0.06906,2021 Chapel Dr Philomath OR 97370,-123.3556333,44.5345472,,,,,,,,,,,,,,,,,,,
22,Philomath High School,Benton,2054 Applegate St,Philomath,OR,97370,9354,1900,Philomath SD 17J,Philomath High School,485,485,3,0.00619,4,0.00825,,0,,0,44,0.09072,417,0.85979,17,0.03505,2054 Applegate St Philomath OR 97370,-123.3556679,44.5381367,,,,,,,,,,,,,,,,,,,
27,Adams Elementary School,Benton,1615 SW 35th St,Corvallis,OR,97333,1197,1901,Corvallis SD 509J,Adams Elementary School,442,441,5,0.01134,31,0.07029,,0,5,0.01134,38,0.08617,319,0.72336,43,0.09751,1615 SW 35th St Corvallis OR 97333,-123.2884948,44.5514076,Benton,1901,Corvallis SD 509J,Adams Elementary School,School,Total Population,Total Population,3.9,4,3.9,61,11.4,60,18.5,60,15.9,60,12.1,60
28,Cheldelin Middle School,Benton,987 Conifer Blvd NE,Corvallis,OR,97330,4099,1901,Corvallis SD 509J,Cheldelin Middle School,574,604,3,0.00497,38,0.06291,,0,9,0.0149,53,0.08775,452,0.74834,49,0.08113,987 Conifer Blvd NE Corvallis OR 97330,-123.2373389,44.601108,,,,,,,,,,,,,,,,,,,
30,Garfield Elementary School,Benton,1205 NW Garfield Ave,Corvallis,OR,97330,2057,1901,Corvallis SD 509J,Garfield Elementary School,444,436,11,0.02523,10,0.02294,1,0.00229,7,0.01606,190,0.43578,189,0.43349,28,0.06422,1205 NW Garfield Ave Corvallis OR 97330,-123.2647413,44.5836259,Benton,1901,Corvallis SD 509J,Garfield Elementary School,School,Total Population,Total Population,3.6,3.7,3.6,65,11.5,64,12.2,64,10.3,64,9,64
33,Hoover Elementary School,Benton,3838 NW Walnut Blvd,Corvallis,OR,97330,3499,1901,Corvallis SD 509J,Hoover Elementary School,434,391,,0,78,0.19949,3,0.00767,3,0.00767,32,0.08184,238,0.6087,37,0.09463,3838 NW Walnut Blvd Corvallis OR 97330,-123.2925814,44.592501,Benton,1901,Corvallis SD 509J,Hoover Elementary School,School,Total Population,Total Population,3.8,4,3.8,40,14.2,40,22.9,40,20.4,40,16.2,40
35,Jefferson Elementary School,Benton,1825 NW 27th St,Corvallis,OR,97330,1993,1901,Corvallis SD 509J,Jefferson Elementary School,342,335,1,0.00299,15,0.04478,,0,2,0.00597,20,0.0597,279,0.83284,18,0.05373,1825 NW 27th St Corvallis OR 97330,-123.2803063,44.5857769,Benton,1901,Corvallis SD 509J,Jefferson Elementary School,School,Total Population,Total Population,3.5,3.6,3.5,50,11.6,48,18.6,50,15.8,50,11.5,49
36,Lincoln Elementary School,Benton,110 SE Alexander Ave,Corvallis,OR,97333,1999,1901,Corvallis SD 509J,Lincoln Elementary School,386,364,1,0.00275,1,0.00275,1,0.00275,5,0.01374,110,0.3022,221,0.60714,25,0.06868,110 SE Alexander Ave Corvallis OR 97333,-123.264865,44.5449437,Benton,1901,Corvallis SD 509J,Lincoln Elementary School,School,Total Population,Total Population,3.4,3.9,3.6,61,11.8,60,15.7,60,12.9,60,11.5,60
37,Mt View Elementary School,Benton,340 NE Granger Ave,Corvallis,OR,97330,9654,1901,Corvallis SD 509J,Mt View Elementary School,324,315,1,0.00317,5,0.01587,2,0.00635,3,0.00952,27,0.08571,248,0.7873,29,0.09206,340 NE Granger Ave Corvallis OR 97330,-123.2389419,44.628146,Benton,1901,Corvallis SD 509J,Mt View Elementary School,School,Total Population,Total Population,3.9,3.9,3.9,52,11.7,52,17.5,52,15.3,52,11,52
38,Linus Pauling Middle School,Benton,1111 NW Cleveland Ave,Corvallis,OR,97330,2063,1901,Corvallis SD 509J,Linus Pauling Middle School,723,749,9,0.01202,26,0.03471,2,0.00267,13,0.01736,198,0.26435,455,0.60748,46,0.06142,1111 NW Cleveland Ave Corvallis OR 97330,-123.2640838,44.586248,,,,,,,,,,,,,,,,,,,
