tract_id,county,Diversity Index,Median Household Income,Population Under 18
41051002100,Multnomah,37.8,33417,6.4
41051002401,Multnomah,35.4,130313,22.5
41051002402,Multnomah,35,84688,7.8
41051002501,Multnomah,23.2,145313,25.1
41051002502,Multnomah,33.2,82262,14.3
41061970700,Union,32.9,29534,17.5
41061970500,Union,25.3,41250,23.9
41061970800,Union,27.5,38667,24.2
41051002600,Multnomah,20.4,106316,23.6
41051002701,Multnomah,23.8,128625,25
41051002702,Multnomah,31.1,90875,15
41051002801,Multnomah,29.8,103125,19.4
41051002802,Multnomah,33.8,84688,18
41051002901,Multnomah,41.6,50833,16.8
41051002902,Multnomah,44.3,52173,17.7
41051003000,Multnomah,33.1,102008,18.4
41051003100,Multnomah,34.8,109643,19.8
41051003200,Multnomah,45.2,75714,18.7
41051003301,Multnomah,66.5,25234,17
41051003302,Multnomah,53,75345,17.7
41051003401,Multnomah,68.2,13517,19.9
41051003402,Multnomah,63.8,49121,16.4
41051003501,Multnomah,53.3,62768,16.3
41051003502,Multnomah,38.4,85323,14.9
41051003601,Multnomah,69.2,48333,18.8
41051003602,Multnomah,61.1,51586,17.6
41051003603,Multnomah,58.7,46346,15.8
41051003701,Multnomah,67.3,63929,19
41009970200,Columbia,18.8,67097,22
41009970400,Columbia,14.4,76094,20.2
41009970900,Columbia,24.6,61587,23.8
41009970300,Columbia,20.3,53750,20.5
41009970500,Columbia,18.9,77549,21.7
41009970600,Columbia,18.9,75776,22.7
41009970700,Columbia,28,42844,25.1
41009970800,Columbia,29.6,65893,26.3
41009971000,Columbia,23.2,70208,22.6
41009971100,Columbia,16.6,63661,23.7
41051003702,Multnomah,51.4,75795,18.3
41051003801,Multnomah,52,64145,17.5
41051003802,Multnomah,50.1,22115,16.7
41051003803,Multnomah,53.8,60577,17.7
41051003901,Multnomah,71.4,53192,24.4
41051003902,Multnomah,38.4,64681,16.5
41051004001,Multnomah,79.2,29985,31.7
41051004002,Multnomah,39.7,75139,10.4
41011000502,Coos,28.9,24432,17.3
41011000100,Coos,18.8,46875,13.8
41011001000,Coos,21.3,38438,14.8
41011000400,Coos,28.9,47951,22.3
41011001100,Coos,25,49583,19.6
41011000600,Coos,28.3,80486,20.5
41011000700,Coos,35,38858,18.4
41011000300,Coos,33,52202,19.7
41011000900,Coos,25.4,60779,19.2
41051004101,Multnomah,78.3,36708,27.4
41051004102,Multnomah,58.1,41336,18.6
41051004200,Multnomah,50,64524,17.3
41051980000,Multnomah,21.9,0,0
41051004500,Multnomah,25.1,180313,13.4
41051004601,Multnomah,20.1,130250,15.7
41045970300,Malheur,60.8,33906,22.6
41045970400,Malheur,83.3,28889,34
41045970600,Malheur,42.9,40962,26.2
41045970200,Malheur,64.3,45667,26.7
41045970500,Malheur,75.7,52286,31.2
41045970700,Malheur,41.4,67750,25.3
41011000200,Coos,17.4,74671,15.7
41011000800,Coos,21.6,50417,19.3
41011000504,Coos,40.4,32375,19
41011000503,Coos,47.7,33125,22.2
41051004602,Multnomah,23.3,185795,24.5
41051004700,Multnomah,29.3,93819,9.3
41051004800,Multnomah,32.2,27015,3.4
41051004900,Multnomah,38.2,77713,5.7
41051005000,Multnomah,28.8,91583,4.1
41051005100,Multnomah,41.7,23229,3.8
41051005200,Multnomah,36.2,31083,3.4
41051005500,Multnomah,44.8,12946,2.7
41051005600,Multnomah,46.3,67788,1.5
41045940000,NA,0,NA,NA
41045970900,Malheur,45.7,48485,11.4
41051005700,Multnomah,40.8,49741,4.5
41051005800,Multnomah,30.3,205733,14.6
41051005900,Multnomah,33.4,86067,6.7
41051006001,Multnomah,25.7,184750,14.2
41051006002,Multnomah,22.6,120083,18.6
41051006100,Multnomah,23.8,109844,20.1
41051006200,Multnomah,23.4,106058,17
41051006501,Multnomah,32.7,115729,21.1
41051006502,Multnomah,33,76875,14.6
41051006601,Multnomah,24.1,118571,20.3
41051006602,Multnomah,34.5,69934,18.5
41051006701,Multnomah,24,87188,19.7
41051006702,Multnomah,29.3,71194,18.6
41051007202,Multnomah,64.1,41372,15.5
41051007300,Multnomah,59.6,6806,4.6
41065970800,Wasco,44.1,38843,20.7
41065970100,Wasco,47.8,62917,22.6
41065970200,Wasco,47.6,41563,24.1
41065970300,Wasco,44.1,40577,25
41065970400,Wasco,48.9,38393,22.7
41065970500,Wasco,56,19818,24.8
41065970600,Wasco,43.4,69524,21.1
41065970700,Wasco,34,35833,20.4
41051009605,Multnomah,73.2,16806,24.8
41051009604,Multnomah,76,29117,28.2
41051010500,Multnomah,20.1,71500,21.5
41051009502,Multnomah,76.5,62353,24.6
41051004300,Multnomah,25.3,52813,20.3
41051006300,Multnomah,28,163523,15.9
41051006402,Multnomah,23.3,134476,21.7
41051006801,Multnomah,27.8,135598,20.9
41051007400,Multnomah,80.6,38220,27.2
41051007500,Multnomah,68.9,36667,22.9
41051007600,Multnomah,81.6,23793,25.7
41051007700,Multnomah,66.4,24700,19.4
41051007900,Multnomah,69.3,38269,24
41051008001,Multnomah,54.3,57604,20.6
41051008002,Multnomah,57.3,55417,23.1
41051008100,Multnomah,65.6,36334,21.3
41051008201,Multnomah,55,51429,19.4
41051008202,Multnomah,61.5,34386,23.3
41019110000,Douglas,15.8,74167,14.6
41019020000,Douglas,24.1,49226,16.6
41019030000,Douglas,21.8,38214,19.2
41019080000,Douglas,22.2,83361,17.8
41019120000,Douglas,29.2,23859,23.9
41019130000,Douglas,26.6,47726,20.2
41019140000,Douglas,27.7,37160,20.6
41019160000,Douglas,22.4,43529,22
41019150000,Douglas,24.2,42414,25.3
41019050001,Douglas,17.7,46369,20
41019010000,Douglas,20.3,31765,16.3
41019060000,Douglas,18.5,55764,16.5
41019210000,Douglas,26.2,39000,18.6
41019090000,Douglas,23.4,34821,18.9
41051006802,Multnomah,23.7,141071,21.7
41051006900,Multnomah,22.7,149167,21.4
41051007000,Multnomah,37.7,207708,26.5
41051007201,Multnomah,32,18583,7.8
41051008600,Multnomah,69.9,45733,26.2
41051008902,Multnomah,56.9,69412,23.4
41051008901,Multnomah,51.8,70884,27.7
41051009201,Multnomah,67.2,31703,27
41051008301,Multnomah,76.3,26614,24.6
41051008302,Multnomah,67.8,51000,26.6
41051008400,Multnomah,66.6,25398,26.2
41051008500,Multnomah,65.8,33614,25.6
41051008700,Multnomah,52.4,39324,21.1
41051009000,Multnomah,69.6,37591,29.3
41051009102,Multnomah,62.1,54020,27.1
41051009202,Multnomah,66.7,45053,26.1
41051009603,Multnomah,67.4,42008,26.7
41019050002,Douglas,25.8,38594,21.6
41019040000,Douglas,23.7,27656,17.8
41019070000,Douglas,16.1,61542,17.6
41019180000,Douglas,24.2,44412,21.4
41019190000,NA,24.7,NA,NA
41019200000,NA,29.1,NA,NA
41019100000,Douglas,20.7,38242,17.3
41019170000,Douglas,20.2,53529,18.5
41051009302,Multnomah,64.4,35352,22.4
41051009803,Multnomah,61.6,27773,25.1
41051009903,Multnomah,38.6,100714,23.8
41051010200,Multnomah,63.7,59368,21.7
41051010304,Multnomah,80.5,38920,33
41051010306,Multnomah,43.9,68281,27.5
41051010402,Multnomah,32.6,93307,26.4
41051010407,Multnomah,49.7,69950,27.1
41051009400,Multnomah,47.8,63930,17.2
41051009501,Multnomah,71.4,29777,22.7
41051009701,Multnomah,69.1,32983,27.2
41051010408,Multnomah,51.3,53944,28.4
41051007100,Multnomah,28.7,84000,15.5
41051009301,Multnomah,75.8,26775,27.4
41051010002,Multnomah,47.6,66644,22.6
41051010305,Multnomah,32.6,65833,24.3
41051009101,Multnomah,68.9,39514,27.5
41051009804,Multnomah,55.3,30855,24.4
41051010100,Multnomah,54.6,47643,22.9
41051009606,Multnomah,81.3,31360,29
41051009702,Multnomah,69.2,41789,28.6
41051009801,Multnomah,75.4,26923,31.5
41051010001,Multnomah,66.9,24122,23.7
41051010303,Multnomah,53.6,45477,28.3
41051010405,Multnomah,59.9,41827,24.4
41051010409,Multnomah,38.2,68571,27.5
41051006404,Multnomah,31.2,63341,14.7
41051009905,Multnomah,41.9,65906,25.1
41051009907,Multnomah,50,52647,25.4
41051010411,Multnomah,60.6,51490,24.4
41051006403,Multnomah,48.9,47813,21.8
41051010410,Multnomah,58.1,38068,23.8
41055950100,Sherman,22.7,63125,19.3
41051002903,Multnomah,63.5,23795,20.8
41051007800,Multnomah,60.3,46071,20.7
41051008800,Multnomah,56.7,51518,21.9
41051000100,Multnomah,26.3,76827,18
41051000200,Multnomah,29.3,81098,16.9
41051000301,Multnomah,36.2,88700,9.6
41051009904,Multnomah,51.6,56494,24.7
41051009906,Multnomah,35.2,103092,24.5
41051010600,Multnomah,47.6,21875,2
41051002303,Multnomah,46.8,34000,6.9
41051002203,Multnomah,55.4,66979,14.1
41031960100,Jefferson,43.7,42031,15
41031940000,Jefferson,30.5,30521,34.7
41031960302,Jefferson,52.8,38553,25
41031960202,Jefferson,65.6,38550,26.6
41031960201,Jefferson,79.9,37423,30
