OBJECTID,GEOID10,County,TOTPOP_CY,POP18UNDER_CY,POP18UNDER_PCT,x,y
613,41005021000,Clackamas,4609,1012,22,,
614,41005021100,Clackamas,5562,1171,21.1,,
615,41005021200,Clackamas,3916,647,16.5,,
616,41005021500,Clackamas,5033,938,18.6,,
617,41067030300,Washington,4675,1041,22.3,,
618,41067030401,Washington,4411,844,19.1,,
619,41067030402,Washington,4540,802,17.7,,
620,41067030501,Washington,5537,1040,18.8,,
621,41067030600,Washington,5280,1064,20.2,,
622,41067031512,Washington,7480,2210,29.5,,
623,41067031300,Washington,7301,1599,21.9,,
624,41005021601,Clackamas,5809,1412,24.3,,
625,41005021602,Clackamas,5200,1214,23.3,,
626,41005022101,Clackamas,6690,1453,21.7,,
627,41005022201,Clackamas,4783,963,20.1,,
628,41005022602,Clackamas,4386,992,22.6,,
629,41005022400,Clackamas,4029,860,21.3,,
630,41067031404,Washington,4720,1073,22.7,,
631,41067031402,Washington,2934,576,19.6,,
632,41067031806,Washington,5495,1369,24.9,,
633,41067031807,Washington,3596,724,20.1,,
634,41067031904,Washington,2879,647,22.5,,
635,41067032406,Washington,8740,2516,28.8,,
636,41067032200,Washington,8056,2354,29.2,,
637,41067032300,Washington,4774,1302,27.3,,
638,41067032603,Washington,7240,2227,30.8,,
639,41067032404,Washington,7476,2029,27.1,,
640,41067032503,Washington,3569,897,25.1,,
641,41067032604,Washington,6122,1669,27.3,,
642,41067031606,Washington,5947,1713,28.8,,
643,41067031613,Washington,6983,1819,26,,
644,41005022500,Clackamas,7812,1826,23.4,,
645,41005022901,Clackamas,3435,932,27.1,,
646,41005022702,Clackamas,6713,1685,25.1,,
647,41005023202,Clackamas,6630,1720,25.9,,
648,41005021700,Clackamas,6076,1212,19.9,,
649,41005021900,Clackamas,3484,902,25.9,,
650,41005022000,Clackamas,6399,1405,22,,
651,41005021400,Clackamas,4842,899,18.6,,
652,41067031706,Washington,5148,1380,26.8,,
653,41067031703,Washington,4793,1286,26.8,,
654,41067031704,Washington,8305,2214,26.7,,
655,41067031804,Washington,6014,1665,27.7,,
656,41067030200,Washington,5989,1230,20.5,,
657,41067030900,Washington,5293,1413,26.7,,
658,41005021300,Clackamas,5922,1297,21.9,,
659,41005023100,Clackamas,6109,1217,19.9,,
660,41005023300,Clackamas,4977,1032,20.7,,
661,41005023401,Clackamas,4409,831,18.8,,
