OBJECTID,ID,DMAP,x,y
500,41051001202,548,,
501,41051001301,1032,,
502,41051001302,651,,
503,41051001400,1339,,
504,41051001500,483,,
505,41051001601,1677,,
506,41051001602,2114,,
507,41051001701,3084,,
508,41051001702,2066,,
509,41051001801,1687,,
510,41051001802,881,,
511,41051001900,601,,
512,41051002000,1878,,
513,41051002100,1659,,
514,41051002203,1995,,
515,41051002303,1149,,
516,41051002401,486,,
517,41051002402,955,,
518,41051002501,540,,
519,41051002502,902,,
520,41051002600,372,,
521,41051002701,346,,
522,41051002702,933,,
523,41051002801,644,,
524,41051002802,768,,
525,41051002901,1408,,
526,41051002902,1857,,
527,41051002903,2704,,
528,41051003000,813,,
529,41051003100,951,,
530,41051003200,1318,,
531,41051003301,1864,,
532,41051003302,1312,,
533,41051003401,2135,,
534,41051003402,2055,,
535,41051003501,1334,,
536,41051003502,696,,
537,41051003601,2058,,
538,41051003602,2098,,
539,41051003603,453,,
540,41051003701,1883,,
541,41051003702,907,,
542,41051003801,1202,,
543,41051003802,1058,,
544,41051003803,1381,,
545,41051003901,3601,,
546,41051003902,776,,
547,41051004001,5505,,
548,41051004002,1037,,
549,41051004101,4746,,
550,41051004102,2295,,
551,41051004200,1704,,
552,41051004300,413,,
553,41051004500,442,,
554,41051004601,301,,
555,41051004602,154,,
556,41051004700,761,,
557,41051004800,871,,
558,41051004900,1399,,
559,41051005000,465,,
560,41051005100,8361,,
561,41051005200,1669,,
562,41051005500,1135,,
563,41051005600,1488,,
564,41051005700,487,,
565,41051005800,665,,
566,41051005900,1194,,
567,41051006001,296,,
568,41051006002,390,,
569,41051006100,289,,
570,41051006200,525,,
571,41051006300,424,,
572,41051006402,753,,
573,41051006403,1648,,
574,41051006404,617,,
575,41051006501,1183,,
576,41051006502,1207,,
577,41051006601,379,,
578,41051006602,1652,,
579,41051006701,621,,
580,41051006702,945,,
581,41051006801,388,,
582,41051006802,505,,
583,41051006900,273,,
584,41051007000,658,,
585,41051007100,707,,
586,41051007201,969,,
587,41051007202,1683,,
588,41051007300,1187,,
589,41051007400,2720,,
590,41051007500,2907,,
591,41051007600,2363,,
592,41051007700,1108,,
593,41051007800,994,,
594,41051007900,3164,,
595,41051008001,1794,,
596,41051008002,1731,,
597,41051008100,5898,,
598,41051008201,1560,,
599,41051008202,5436,,
600,41051008301,3496,,
601,41051008302,3145,,
602,41051008400,4047,,
603,41051008500,3416,,
604,41051008600,3104,,
605,41051008700,2406,,
606,41051008800,2127,,
607,41051008901,5172,,
608,41051008902,2147,,
609,41051009000,9232,,
610,41051009101,5191,,
611,41051009102,4790,,
612,41051009201,6767,,
613,41051009202,3533,,
614,41051009301,5703,,
615,41051009302,3096,,
616,41051009400,2521,,
617,41051009501,2635,,
618,41051009502,2184,,
619,41051009603,2248,,
620,41051009604,5132,,
621,41051009605,4032,,
622,41051009606,5074,,
623,41051009701,4401,,
624,41051009702,6874,,
625,41051009801,4756,,
626,41051009803,4592,,
627,41051009804,1903,,
628,41051009903,1464,,
629,41051009904,1873,,
630,41051009905,1073,,
631,41051009906,1263,,
632,41051009907,2404,,
633,41051010001,4674,,
634,41051010002,2713,,
635,41051010100,4260,,
636,41051010200,3454,,
637,41051010303,2831,,
638,41051010304,3123,,
639,41051010305,1325,,
640,41051010306,1833,,
641,41051010402,1686,,
642,41051010405,3034,,
643,41051010407,2911,,
644,41051010408,3731,,
645,41051010409,2775,,
646,41051010410,3634,,
647,41051010411,1849,,
648,41051010500,1416,,
649,41051010600,2994,,
650,41051980000,13,,
651,41053005100,1696,,
652,41053005201,2862,,
653,41053005202,3578,,
654,41053005300,2340,,
655,41053020202,3196,,
656,41053020203,2126,,
657,41053020204,1698,,
658,41053020302,6116,,
659,41053020303,1123,,
660,41053020304,2853,,
661,41053020400,3374,,
662,41053020500,2194,,
663,41055950100,613,,
664,41057960100,1233,,
665,41057960200,1117,,
666,41057960300,994,,
667,41057960400,4281,,
668,41057960500,1312,,
669,41057960600,781,,
670,41057960700,1074,,
671,41057960800,896,,
672,41059940000,1656,,
673,41059950100,1750,,
674,41059950200,4744,,
675,41059950300,845,,
676,41059950400,2269,,
677,41059950500,1999,,
678,41059950600,3606,,
679,41059950700,1736,,
680,41059950800,3560,,
681,41059950900,2585,,
682,41059951000,3927,,
683,41059951100,2463,,
684,41059951200,5393,,
685,41059951300,1552,,
686,41059951400,682,,
687,41061970100,1528,,
688,41061970200,1457,,
689,41061970300,570,,
690,41061970400,1361,,
691,41061970500,1956,,
692,41061970600,1336,,
693,41061970700,2048,,
694,41061970800,2040,,
695,41063960100,825,,
696,41063960200,844,,
697,41063960300,1457,,
698,41065970100,1861,,
699,41065970200,2003,,
700,41065970300,1358,,
701,41065970400,1848,,
702,41065970500,3198,,
703,41065970600,1537,,
704,41065970700,800,,
705,41065970800,2134,,
706,41067030101,1100,,
707,41067030102,787,,
708,41067030200,1290,,
709,41067030300,661,,
710,41067030401,1588,,
711,41067030402,1216,,
712,41067030501,1307,,
713,41067030502,1058,,
714,41067030600,1797,,
715,41067030700,809,,
716,41067030801,2544,,
717,41067030803,1220,,
718,41067030805,851,,
719,41067030806,795,,
720,41067030900,3431,,
721,41067031003,2167,,
722,41067031004,1413,,
723,41067031005,3198,,
724,41067031006,3317,,
725,41067031100,1728,,
726,41067031200,4516,,
727,41067031300,4128,,
728,41067031402,1495,,
729,41067031403,1748,,
730,41067031404,1441,,
731,41067031504,1349,,
732,41067031506,1001,,
733,41067031507,1385,,
734,41067031508,815,,
735,41067031509,1115,,
736,41067031511,651,,
737,41067031512,1146,,
738,41067031513,1154,,
739,41067031514,1204,,
740,41067031606,3242,,
741,41067031609,3935,,
742,41067031610,3643,,
743,41067031611,1648,,
744,41067031612,1213,,
745,41067031613,2991,,
746,41067031614,1762,,
747,41067031615,2385,,
748,41067031616,913,,
749,41067031617,1110,,
750,41067031703,2024,,
751,41067031704,3213,,
752,41067031705,3168,,
753,41067031706,3371,,
754,41067031804,2150,,
755,41067031805,1461,,
756,41067031806,1757,,
757,41067031807,1144,,
758,41067031812,1259,,
759,41067031813,810,,
760,41067031814,595,,
761,41067031815,1000,,
762,41067031904,669,,
763,41067031907,1839,,
764,41067031908,1167,,
765,41067031909,768,,
766,41067031910,1944,,
767,41067031911,1007,,
768,41067031912,1418,,
769,41067032001,2023,,
770,41067032003,2096,,
771,41067032004,531,,
772,41067032005,2688,,
773,41067032103,2061,,
774,41067032104,798,,
775,41067032107,325,,
776,41067032108,1051,,
777,41067032109,200,,
778,41067032110,404,,
779,41067032200,1370,,
780,41067032300,1388,,
781,41067032404,2330,,
782,41067032406,2487,,
783,41067032407,982,,
784,41067032408,1165,,
785,41067032409,4562,,
786,41067032410,2406,,
787,41067032501,2538,,
788,41067032502,1005,,
789,41067032503,1854,,
790,41067032603,1701,,
791,41067032604,3566,,
792,41067032606,3260,,
793,41067032607,364,,
794,41067032608,361,,
795,41067032609,330,,
796,41067032610,815,,
797,41067032700,1160,,
798,41067032800,238,,
799,41067032901,3265,,
800,41067032902,4239,,
801,41067033000,2164,,
802,41067033101,1351,,
803,41067033102,1961,,
804,41067033200,4454,,
805,41067033301,2014,,
806,41067033302,1098,,
807,41067033400,651,,
808,41067033500,859,,
809,41067033600,649,,
810,41069960100,551,,
811,41071030101,1237,,
812,41071030102,2286,,
813,41071030201,2112,,
814,41071030202,3264,,
815,41071030301,3640,,
816,41071030302,307,,
817,41071030400,2606,,
818,41071030501,2389,,
819,41071030502,2906,,
820,41071030601,2010,,
821,41071030602,2253,,
822,41071030701,3258,,
823,41071030702,4118,,
824,41071030801,3868,,
825,41071030802,2544,,
826,41071030900,2074,,
827,41071031000,1677,,
